p,k,C1_mean_f1,C2_mean_f1,C3_mean_f1,C4_mean_f1,C5_mean_f1,C6_mean_f1,C7_mean_f1,C8_mean_f1,C9_mean_f1,overall_mean
3,11,0.8751854050458231,0.9639754951953078,0.99185130137015,0.8699384236437677,0.05,0.8063960412293885,0.8793424869625477,0.8806126627544006,0.7910898827609802,0.7898212998847073
3,12,0.8696366278439251,0.9601818052709692,0.9915758839406081,0.8627554818686664,0.0,0.7978020969011633,0.8682585215729759,0.876915805198759,0.7897887317258615,0.7796572171469922
3,13,0.8670870202151783,0.9582013535851607,0.990446051271762,0.8607398094393849,0.0,0.7916958146647337,0.875354762036254,0.876951239790609,0.7831281885097372,0.7781782488347577
3,14,0.8606210596034473,0.9550155705020625,0.9901753642171126,0.8552581757955261,0.0,0.7910063375717961,0.8696100166582486,0.8736855698775736,0.7799811766958226,0.775039252324621
3,15,0.8564686650617019,0.9535094999409506,0.9887827082951344,0.8489236459949744,0.0,0.7965644941702603,0.8696100166582486,0.87368349331,0.7791031409126796,0.7740717404826611
3,16,0.850930250695837,0.9513195808680743,0.989058125724676,0.840717052784943,0.0,0.7994354512560663,0.8694223948864955,0.8759105412479646,0.7838545211936963,0.7734053242953058
3,17,0.8421203118638463,0.9509738840524011,0.987950192529485,0.8262677465647565,0.0,0.8065234407503358,0.8605538026344917,0.8773555996296476,0.779089767908276,0.7700927495481379
3,18,0.8389079560551617,0.9490746892453309,0.9863005713452184,0.8226916507171154,0.0,0.8092917218281175,0.8596690449709117,0.8745946562353908,0.7806814741041707,0.7690235293890463
3,19,0.8327506163547301,0.946250656634815,0.9846370535383906,0.8141814796896305,0.0,0.8095741114137264,0.8592114159252648,0.872384548194122,0.7672207103509446,0.7651345102335138
3,20,0.8323925987013681,0.9447097443884431,0.9835226490588489,0.807853573191727,0.0,0.805879484202543,0.8566993386305789,0.872360005351408,0.7604652844455561,0.762653630885608
3,21,0.8248089714331235,0.9424449054895341,0.9829688697307333,0.8053565690676978,0.0,0.8049022507757437,0.8529168327204134,0.8709155373629663,0.7549754476369188,0.7599210426907923
3,22,0.8255975676657666,0.9421479741693435,0.9821440337339972,0.7946847332151734,0.0,0.8075908329147339,0.8480704035816624,0.8698805144269673,0.7492997718112704,0.7577128701687683
3,23,0.8238452063476609,0.9412237863818866,0.9807604976861921,0.7851442411049261,0.0,0.8111706304537039,0.8415129256415177,0.8688091761220027,0.7383399388829359,0.7545340447356472
3,24,0.8204578273497753,0.9392802209799728,0.9788447957719735,0.7845228712463947,0.0,0.8125203129834088,0.8415129256415177,0.8680168877936041,0.7346693663964629,0.7533139120181233
3,25,0.8184886543826121,0.9380712829916282,0.9788325068154256,0.780126509124576,0.0,0.8141956878545311,0.8353789461593211,0.8668357505361293,0.7327087238757564,0.7516264513044422
4,26,0.751455441574127,0.9231315277707915,0.96570723203493,0.8167144786148111,0.0,0.7822874231966597,0.8431777221124721,0.8270592734103352,0.7321347119900536,0.7379630900782422
4,27,0.7402193170609948,0.9189176162799416,0.963833055905954,0.8142464539882569,0.0,0.7805873283499984,0.843106893568008,0.822028018444756,0.7293888292802156,0.7347030569864583
4,28,0.7338416712480744,0.9194750304155797,0.9619943559350226,0.7973733704359027,0.0,0.7870060032618773,0.8433805599263182,0.8205524996743263,0.726620959498604,0.7322493833773005
4,29,0.7236673572181835,0.9182424839885828,0.9601244923317903,0.8041730109167962,0.0,0.7826965364279594,0.8383805599263183,0.8215346524939215,0.7210612343354291,0.7299867030709979
4,30,0.7228230035739764,0.9167788760878942,0.9588152694490427,0.8042750212981898,0.0,0.7879487360543347,0.8383805599263183,0.8220448579422657,0.7216550806928732,0.7303023783360995
4,31,0.7194236319749019,0.9151691695703578,0.9580178311446206,0.8003883296450907,0.0,0.7842312717320176,0.8353317794385134,0.8218861583442794,0.7156869582431018,0.7277927922325425
4,32,0.7187476972375986,0.9139312478736157,0.957244675237158,0.7929962232529842,0.0,0.7843425969809785,0.8336726542499765,0.8204984317559209,0.7082290711009135,0.725518066409905
4,33,0.7155869511171655,0.9127431482085104,0.9554539343548296,0.7944728200319041,0.0,0.7850255205278853,0.8315395669725122,0.8186821357116951,0.7036119319173526,0.7241240009824284
4,34,0.7161069440466845,0.9114962439725792,0.9549607853954798,0.7885462247290616,0.0,0.7860234605085606,0.8312790372286999,0.8212329218112885,0.6918503253768288,0.7223884381187982
4,35,0.7091016920217231,0.9090273644642458,0.9534140423615772,0.7807387399497572,0.0,0.7897715311707193,0.8327329379379197,0.8208982585291926,0.6929665207475114,0.7209612319091829
4,36,0.7093681001968888,0.9094393398408502,0.9521447128833387,0.7711190356879022,0.0,0.7914483772783298,0.8347380822261803,0.8170046162923972,0.6882540473797141,0.7192795901984002
4,37,0.7043863034800593,0.9072494094338543,0.9506575029978078,0.7714662090528328,0.0,0.7909718394887562,0.831180769973216,0.8126856221096,0.6854919037063888,0.7171210622491684
4,38,0.7061702108617,0.9090690963553794,0.9498660038386515,0.7684289699883697,0.0,0.7902294065932678,0.831180769973216,0.8116603048205123,0.6811616904616867,0.7164184947658647
4,39,0.7005193440347387,0.9068866843767113,0.9473094108081138,0.7676688176951015,0.0,0.7892788570326158,0.8293190678455564,0.809457404875422,0.6786096096153736,0.7143387995870704
4,40,0.7001654634661674,0.9055774495773099,0.9465509567040955,0.7662618107534394,0.0,0.7859569811092716,0.8275769075668109,0.8083315371748376,0.6703561224489333,0.712308580977874
4,41,0.6967550332047947,0.9058695465562201,0.9465654776469113,0.7606356912075691,0.0,0.787086393825122,0.8275769075668109,0.8073823247533994,0.6618933110720538,0.7104182984258758
4,42,0.6972026388770864,0.9047226959112795,0.9466285053876474,0.7567211868949794,0.0,0.7885602951001488,0.8275769075668109,0.8088305393433493,0.6625404394951596,0.7103092453973845
4,43,0.691231901135857,0.901440296750368,0.9456028152742404,0.7562122805783628,0.0,0.7892688455237981,0.8275769075668109,0.8046921654728489,0.6592178604781161,0.7083603414200447
4,44,0.6912242402865687,0.9023114478384316,0.9435681352601224,0.7582686705141178,0.0,0.7879849993690616,0.8275769075668109,0.7984234762716549,0.6600477277884795,0.7077117338772498
4,45,0.6870027101840078,0.9008311977960943,0.9412807373381098,0.7595867964110463,0.0,0.7853861150296709,0.8258377771320282,0.7970334344850591,0.6550495087967384,0.7057786974636394
